PROGRAM NAME,PROGRAM CODE,PROGRAM CODE 2 ,PROGRAM CODE 3,COURSE CODE,COURSE CODE 2,COURSE CODE3,COURSE CODE 4,Work integrated learning type,WIL TYPE 2,WIL TYPE 3,WIL TYPE 4,,Primary Key,designation,Contact Name,Address,City,Postal Code,Paid/Unpaid,"22F
# of Students Placed","23W
# of Students Placed",PAC/PLACE/CAREER
Business,B604,,,,,,,,,,,,d3ca9f33-23d2-47d7-b106-d3cbe8cf1599,,Cindy ,,,,,,,PAC
Electromechanical Engineering Technology/Technician - Robotics ,T974,T976,,,,,,,,,,Duplicate,eae63adc-e130-479f-a1e0-380ed4a0236a,,Joe,,,,,,,PAC
B875 - ADVERTISING AND MARKETING COMMUNICATION MANAGEMENT/ B792 - WEB AND INTERACTIVE ADVERTISING,B875,,,,,,,,,,,,02c70d84-755d-4639-ab26-5b2025e18266,,Duane,,,,,,,PAC
International Business Management - Logistics Systems,B999,,,,,,,,,,,Duplicate,079c74d6-7a21-4e2c-970a-86a9c4f89449,,Safaa,,,,,,,PAC
Mobile Applications Development,B990,,,,,,,,,,,,6e0ecb38-d2e9-460c-ad6e-b3f3ba6a5f60,,Ali ,,,,,,,PAC
Event Management ,B908,,,,,,,,,,,Duplicate,c48f746a-7e4e-43d5-ad74-868e36d996f4,,Afshin,,,,,,,PAC
Electromechanical Engineering Technology/Technician - Robotics ,T974,T976,,,,,,,,,,Duplicate,52d74a0f-dd88-4e46-9625-a0ad6b389af4,,Shapour,,,,,,,PAC
Community & Justice Services,B603,,,,,,,,,,,Duplicate,b8bd5d55-6bf6-4cad-91e9-bdb4ea3dfeee,,Jenny-Lee,,,,,,,PAC
Power Engineering ,T941,T942,T940,,,,,,,,,,ad930bbf-4fd5-41a1-a3e6-2271749e9fe7,,Albert ,,,,,,,PAC
Honours Bachelor of Applied Arts in Social Justice & Legal Studies,C999,,,,,,,,,,,Duplicate,ac870d32-ce23-4cb5-9171-0c21d5792bf4,,Anna ,,,,,,,PAC
Academic and Career Entrance / College and Employment Preperation,C772,,,,,,,,,,,,30255555-25e1-453d-b717-213e2b1633e7,,Tanya,,,,,,,PAC
Powerline Technician ,K766,,,,,,,,,,,Duplicate,91d7b20a-774d-4695-8e7e-6508fdc1fc96,,Christie,,,,,,,PAC
Respiratory Therapy,H795,,,,,,,,,,,Duplicate,8bf0a36d-dfea-4d25-9ad5-60d42aab462f,,Kelly,,,,,,,PAC
Plumbing Techniques/Plumbing Apprenticeship,T954,,,,,,,,,,,,65d576ce-74bc-4854-b9ac-3a080d19fb7d,,David,,,,,,,PAC
Electrical Engineering Technician,K788,,,,,,,,,,,Duplicate,7721b422-da91-47ee-a789-47c7025b17cf,,Rick,,,,,,,PAC
Architectural Technnology ,T020,,,,,,,,,,,Duplicate,4fb9c7d4-c2f4-4863-90d5-36154da8a46a,,Aaron,,,,,,,PAC
Landscape Horticulture,T866,,,,,,,,,,,Duplicate,9e1ac025-c419-41e8-99d5-4a4010f0652f,,Jessica,,,,,,,PAC
Graphic Design,T809,,,,,,,,,,,,8c575fa3-a680-44ee-861f-5373270fc317,,Jeff,,,,,,,PAC
Mechanical Engineering Technology - Automotive Product Design,T826,,,,,,,,,,,,0edf29f3-b8ac-4c0f-bdfb-5d4c9c4f638d,,Jonathan ,,,,,,,PAC
Occupational Therapist Assistant / Physiotherapist Assistant,K893,,,,,,,,,,,,8e6de6fb-4b85-4118-88fa-24b7ceaf35b1,,Jocelyn,,,,,,,PAC
