Program Health,PROGRAM CODE,PROGRAM NAME,has capstone,has co-op,has shadowing,has placement,has simulation,Full Address,Postal Code,Latitude,Longitude,"22F
# of Students Placed",Mode of Placement
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0,0,0,0,0,  ,0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Howard Ave, Windsor, ON  ",0,42.2759227,-83.006396,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Ottawa St, Windsor, ON N8X 2E6   ",0,42.3097823,-83.0125161,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Remark Dr, Kingsville, Ontario N9Y 3X6  ",0,42.0391636,-82.7273576,2,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,Tecumseh Rd E. Windsor  ,0,42.3088511,-82.9601572,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Banwell Rd #100, Windsor, ON (Inside Design)  ",0,42.3053098,-82.8989892,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Ouellette Ave, Windsor, ON N8X 1K7   ",0,42.2993099,-83.0272241,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON N8R 1A5  ",0,42.3141345,-82.9184772,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,  ,0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E. Tecumseh, ON N8N 3T0   ",0,42.312534,-82.9010288,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,Malden Rd #114 Lasalle ON N9H 1S3  ,0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"William Street South Chatham, ON N7M 6B3   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,Cabana Rd E Suite  Windsor ON N8X 3W7  ,0,NA,NA,4,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Dougall Ave, Windsor, ON N9E 1S4   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,Walker Rd  ,0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Deziel Dr Suite # , Windsor, ON N8W 5K8  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON N8T 1E7   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Stanley St, Windsor, ON N8X 4Z9   ",0,NA,NA,3,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Dougall Ave, Windsor (Inside Cameo Hair Salon)  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Victoria Ave. Chatham, ON N7L 3A1  ",0,NA,NA,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,0,0,  ,0,,NA,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,0,0,  ,0,,NA,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Dundas Street, London, ON  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Malden Rd Unit, LaSalle, ON N9H 1T5  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Forest Glade Dr, Windsor, ON N8R 1W6  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Erie St E, Windsor, ON N9A 3Y9  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Riverside Drive E. Windsor, ON N8S 1E1  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Advance Blvd, Tecumseh, ON   N8N 0B8  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON N8N 1L8   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Tecumseh  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Lesperance Rd, Tecumseh, ON  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Hawthorne Dr Suite  Windsor, ON N8T 3N3   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Lesperance Rd. Tecumseh, ON N8H 1Y2; 3001 Dougall Ave., Windsor ON N9E 1S3   ",0,NA,NA,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON N8T 1E3   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Sandwich St S, Amherstburg, ON N9V 3Z7   ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,Howard Ave Unit Windsor (Inside Bar)  ,0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Wyandotte St E, 102 B  Windsor, OntarioN8Y 1C7  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Tecumseh Rd E, Windsor, ON  ",0,NA,NA,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Lanoue St, Windsor, Ontario N8N 5B5   ",0,NA,NA,6,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0,0,0,1,1,"Wyandotte St. E., Windsor N8S 1M9   ",0,NA,NA,5,Placement
