Program Health,PROGRAM CODE,PROGRAM NAME,has capstone,has co-op,has shadowing,has placement,has simulation,Latitude,Longitude,"22F
# of Students Placed",Mode of Placement
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,K972,Academic and Career Entrance (Chatham),0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Low Admission,C772,Academic and Career Entrance / College and Employment Preperation,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.2759227,-83.006396,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.3097823,-83.0125161,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.0391636,-82.7273576,2,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.3088511,-82.9601572,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.3053098,-82.8989892,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.2993099,-83.0272241,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.3141345,-82.9184772,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,42.312534,-82.9010288,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,4,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,3,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,0.0,0.0,,,0,PAC
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,1,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,0,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,6,Placement
Good,H912,Advanced Medical Esthetics Practitioner,0.0,0.0,0.0,1.0,1.0,,,5,Placement
