date,area_code,market,market_size,inventory,Cost Price of Goods,Selling Price,Gross profit,Marketing budget to sell the Products,operational cost on product,Net profit,total_expenses,Total Product Sold,product_line,product_type,product,state,target_cogs,target_margin,target_profit,target_sales,type,difference_between_actual_and_target_profit
2012-11-01T00:00:00,203,East,Small Market,809,36,90,54,10,11,33,21,90,Leaves,Tea,Green Tea,Connecticut,30,60,40,90,Regular,-7
2013-10-01T00:00:00,203,East,Small Market,375,47,111,64,15,18,31,43,118,Beans,Espresso,Decaf Espresso,Connecticut,30,60,50,90,Decaf,-19
2013-11-01T00:00:00,203,East,Small Market,809,36,90,54,10,-5,49,21,96,Leaves,Tea,Green Tea,Connecticut,30,60,40,90,Regular,9
2013-12-01T00:00:00,203,East,Small Market,1075,63,139,76,19,4,53,40,148,Leaves,Herbal Tea,Mint,Connecticut,40,60,40,100,Decaf,13
2013-10-01T00:00:00,203,East,Small Market,593,79,177,98,30,18,50,64,189,Leaves,Herbal Tea,Lemon,Connecticut,40,50,30,90,Decaf,20
2013-10-01T00:00:00,203,East,Small Market,1053,65,142,77,20,5,52,42,151,Leaves,Herbal Tea,Mint,Connecticut,30,50,50,80,Decaf,2
2013-10-01T00:00:00,203,East,Small Market,806,24,60,36,6,3,27,18,64,Leaves,Tea,Green Tea,Connecticut,20,40,40,60,Regular,-13
2013-11-01T00:00:00,203,East,Small Market,380,53,124,71,17,15,39,45,132,Beans,Espresso,Decaf Espresso,Connecticut,50,70,40,120,Decaf,-1
2013-12-01T00:00:00,203,East,Small Market,392,49,114,65,16,18,31,44,121,Beans,Espresso,Decaf Espresso,Connecticut,40,70,40,110,Decaf,-9
2013-12-01T00:00:00,203,East,Small Market,627,55,131,76,49,30,-3,78,140,Beans,Espresso,Caffe Mocha,Connecticut,50,70,10,120,Regular,-13
2012-11-01T00:00:00,203,East,Small Market,613,61,147,86,55,29,2,84,147,Beans,Espresso,Caffe Mocha,Connecticut,60,80,10,140,Regular,-8
2012-10-01T00:00:00,203,East,Small Market,606,60,144,84,54,29,1,83,144,Beans,Espresso,Caffe Mocha,Connecticut,40,90,40,130,Regular,-39
2012-11-01T00:00:00,203,East,Small Market,1134,130,325,195,42,31,122,73,325,Beans,Coffee,Colombian,Connecticut,110,180,130,290,Regular,-8
2012-12-01T00:00:00,203,East,Small Market,1166,115,289,174,37,32,105,69,289,Beans,Coffee,Colombian,Connecticut,100,160,110,260,Regular,-5
2013-10-01T00:00:00,203,East,Small Market,1119,125,313,188,41,-24,171,73,334,Beans,Coffee,Colombian,Connecticut,100,160,130,260,Regular,41
2013-11-01T00:00:00,203,East,Small Market,1134,130,325,195,42,-28,181,73,346,Beans,Coffee,Colombian,Connecticut,110,180,130,290,Regular,51
2012-11-01T00:00:00,206,West,Small Market,613,61,147,86,55,30,1,85,147,Leaves,Tea,Green Tea,Washington,40,60,0,100,Regular,1
2013-11-01T00:00:00,206,West,Small Market,391,54,121,67,20,28,19,54,129,Beans,Espresso,Caffe Mocha,Washington,50,60,20,110,Regular,-1
2012-10-01T00:00:00,206,West,Small Market,329,60,159,99,18,24,57,42,159,Leaves,Tea,Darjeeling,Washington,20,50,40,70,Regular,17
2012-11-01T00:00:00,206,West,Small Market,454,49,120,71,15,22,34,37,120,Leaves,Tea,Earl Grey,Washington,30,50,30,80,Regular,4
2013-11-01T00:00:00,206,West,Small Market,454,49,120,71,15,6,50,37,128,Leaves,Tea,Earl Grey,Washington,30,50,30,80,Regular,20
2012-10-01T00:00:00,206,West,Small Market,606,60,144,84,54,30,0,84,144,Leaves,Tea,Green Tea,Washington,20,40,10,60,Regular,-10
2013-10-01T00:00:00,206,West,Small Market,606,60,144,84,54,30,0,84,153,Leaves,Tea,Green Tea,Washington,20,40,10,60,Regular,-10
2013-12-01T00:00:00,206,West,Small Market,567,24,56,32,7,6,19,19,60,Beans,Espresso,Caffe Latte,Washington,20,30,20,50,Regular,-1
2012-11-01T00:00:00,206,West,Small Market,1063,75,164,89,23,21,45,44,164,Beans,Espresso,Decaf Espresso,Washington,70,80,40,150,Decaf,5
2012-10-01T00:00:00,206,West,Small Market,438,68,167,99,21,22,56,43,167,Beans,Coffee,Colombian,Washington,90,140,110,230,Regular,-54
2012-10-01T00:00:00,206,West,Small Market,573,22,51,29,7,12,10,19,51,Beans,Espresso,Caffe Latte,Washington,10,20,20,30,Regular,-10
2012-10-01T00:00:00,206,West,Small Market,1119,125,313,188,41,32,115,73,313,Leaves,Herbal Tea,Chamomile,Washington,90,160,130,250,Decaf,-15
2012-11-01T00:00:00,206,West,Small Market,1134,130,325,195,42,31,122,73,325,Leaves,Herbal Tea,Chamomile,Washington,120,180,120,300,Decaf,2
2013-10-01T00:00:00,206,West,Small Market,683,96,230,134,87,22,25,117,245,Beans,Coffee,Decaf Irish Cream,Washington,140,190,100,330,Decaf,-75
2013-10-01T00:00:00,206,West,Small Market,573,22,51,29,7,7,15,19,54,Beans,Espresso,Caffe Latte,Washington,10,20,20,30,Regular,-5
2013-11-01T00:00:00,206,West,Small Market,1134,130,325,195,42,-28,181,73,346,Leaves,Herbal Tea,Chamomile,Washington,120,180,120,300,Decaf,61
2013-12-01T00:00:00,206,West,Small Market,716,105,250,145,95,20,30,125,266,Beans,Coffee,Decaf Irish Cream,Washington,120,170,50,290,Decaf,-20
2012-10-01T00:00:00,209,West,Major Market,580,76,187,111,21,11,79,32,187,Leaves,Tea,Earl Grey,California,30,50,50,80,Regular,29
2012-10-01T00:00:00,209,West,Major Market,541,39,90,51,12,13,26,25,90,Leaves,Herbal Tea,Mint,California,20,40,40,60,Decaf,-14
2013-11-01T00:00:00,209,West,Major Market,659,75,189,114,24,2,88,55,201,Leaves,Tea,Green Tea,California,50,80,40,130,Regular,48
2012-12-01T00:00:00,209,West,Major Market,1744,247,576,329,81,32,216,113,576,Beans,Espresso,Decaf Espresso,California,240,310,210,550,Decaf,6
2013-12-01T00:00:00,209,West,Major Market,1744,247,576,329,81,-73,321,113,614,Beans,Espresso,Decaf Espresso,California,240,310,210,550,Decaf,111
2013-12-01T00:00:00,209,West,Major Market,2947,127,102,-25,40,66,-131,63,109,Beans,Coffee,Amaretto,California,150,-30,-90,120,Regular,-41
2012-11-01T00:00:00,210,South,Major Market,589,50,123,73,14,11,48,25,123,Beans,Espresso,Decaf Espresso,Texas,30,60,40,90,Decaf,8
2012-10-01T00:00:00,210,South,Major Market,915,123,302,179,34,12,133,46,302,Beans,Espresso,Caffe Mocha,Texas,70,120,100,190,Regular,33
2012-12-01T00:00:00,212,East,Major Market,3641,135,66,-69,122,33,-224,155,66,Beans,Espresso,Caffe Mocha,New York,130,-70,-210,60,Regular,-14
2013-10-01T00:00:00,212,East,Major Market,1197,239,765,526,66,-186,646,91,815,Beans,Espresso,Regular Espresso,New York,210,510,450,720,Regular,196
2012-12-01T00:00:00,213,West,Major Market,677,67,168,101,22,32,47,54,168,Leaves,Tea,Green Tea,California,40,80,50,120,Regular,-3
2012-11-01T00:00:00,213,West,Major Market,984,81,198,117,22,11,84,33,198,Leaves,Herbal Tea,Chamomile,California,70,110,80,180,Decaf,4
2012-11-01T00:00:00,213,West,Major Market,1272,225,490,265,69,22,174,91,490,Leaves,Herbal Tea,Lemon,California,210,240,160,450,Decaf,14
2012-11-01T00:00:00,213,West,Major Market,930,118,290,172,33,11,128,44,290,Leaves,Tea,Darjeeling,California,80,130,110,210,Regular,18
2013-11-01T00:00:00,213,West,Major Market,1691,228,532,304,75,-63,292,107,567,Beans,Espresso,Decaf Espresso,California,220,290,190,510,Decaf,102
2013-11-01T00:00:00,213,West,Major Market,2580,249,623,374,87,-62,349,139,664,Beans,Coffee,Colombian,California,290,450,310,740,Regular,39
2012-12-01T00:00:00,214,South,Major Market,601,54,133,79,15,12,52,27,133,Beans,Espresso,Decaf Espresso,Texas,40,60,40,100,Decaf,12
2012-12-01T00:00:00,214,South,Major Market,435,41,101,60,13,23,24,36,101,Leaves,Herbal Tea,Lemon,Texas,30,60,30,90,Decaf,-6
2012-10-01T00:00:00,214,South,Major Market,541,39,90,51,12,13,26,25,90,Beans,Coffee,Decaf Irish Cream,Texas,40,90,80,130,Decaf,-54
2012-10-01T00:00:00,216,Central,Major Market,503,51,122,71,46,30,-5,76,122,Beans,Coffee,Decaf Irish Cream,Ohio,40,70,30,110,Decaf,-35
2012-10-01T00:00:00,217,Central,Major Market,580,76,187,111,21,12,78,33,187,Leaves,Tea,Darjeeling,Illinois,50,80,80,130,Regular,-2
2012-11-01T00:00:00,224,Central,Major Market,1691,228,532,304,75,33,196,108,532,Beans,Espresso,Caffe Mocha,Illinois,290,390,290,680,Regular,-94
2012-11-01T00:00:00,225,South,Small Market,454,49,120,71,15,22,34,37,120,Beans,Espresso,Decaf Espresso,Louisiana,30,60,30,90,Decaf,4
2012-11-01T00:00:00,225,South,Small Market,321,53,141,88,16,23,49,39,141,Beans,Espresso,Caffe Mocha,Louisiana,40,60,30,100,Regular,19
2012-12-01T00:00:00,225,South,Small Market,863,34,85,51,9,11,31,20,85,Beans,Coffee,Decaf Irish Cream,Louisiana,40,60,50,100,Decaf,-19
