Address
Malden Rd #114 Lasalle ON N9H 1S3  
"William Street South Chatham, ON N7M 6B3   "
Cabana Rd E Suite  Windsor ON N8X 3W7  
"Dougall Ave, Windsor, ON N9E 1S4   "
"Tecumseh Rd E, Windsor, ON  "
Walker Rd  
"Deziel Dr Suite # , Windsor, ON N8W 5K8  "
"Tecumseh Rd E, Windsor, ON N8T 1E7   "
"Stanley St, Windsor, ON N8X 4Z9   "
"Dougall Ave, Windsor (Inside Cameo Hair Salon)  "
"Victoria Ave. Chatham, ON N7L 3A1  "
"Dundas Street, London, ON  "
"Malden Rd Unit, LaSalle, ON N9H 1T5  "
"Forest Glade Dr, Windsor, ON N8R 1W6  "
"Erie St E, Windsor, ON N9A 3Y9  "
"Riverside Drive E. Windsor, ON N8S 1E1  "
"Advance Blvd, Tecumseh, ON   N8N 0B8  "
"Tecumseh Rd E, Windsor, ON N8N 1L8   "
"Tecumseh Rd E, Tecumseh  "
"Lesperance Rd, Tecumseh, ON  "
"Hawthorne Dr Suite  Windsor, ON N8T 3N3   "
"Lesperance Rd. Tecumseh, ON N8H 1Y2; 3001 Dougall Ave., Windsor ON N9E 1S3   "
"Tecumseh Rd E, Windsor, ON N8T 1E3   "
"Sandwich St S, Amherstburg, ON N9V 3Z7   "
Howard Ave Unit Windsor (Inside Bar)  
"Wyandotte St E, 102 B  Windsor, OntarioN8Y 1C7  "
"Tecumseh Rd E, Windsor, ON  "
"Lanoue St, Windsor, Ontario N8N 5B5   "
"Wyandotte St. E., Windsor N8S 1M9   "
"Sprucewood Ave, Windsor, ON N9J 1X7   "
"Main Street West, Kingsville, ON  "
Dougall Ave  
"Walker Rd, Windsor  "
Tecumseh Rd E  
"Essex County Rd 22 Unit/, Belle River, ON N0R 1A0   "
"Dalhousie St #, Amherstburg, ON N9V 1W7   "
"Dougall Ave Uni, Windsor, ON N8X 5A7  "
"Front Rd. Lasalle, ON  "
"Main Street E., Kingsville, ON N9Y 1A2  "
"Goyeau St, Windsor, ON N9A 1G5  "
"Deziel Dr Suite , Windsor, ON N8W 5K8   "
"Chilver Rd UnitWindsor, ON N8Y 2K2   "
"Lachance, Tecumseh, ON N8N 1L5   "
"Dougall Ave., Windsor   "
"Talbot St N, Essex, ON N8M 2C4  "
"Amy Croft Dr, Tecumseh, ON N8N 2L9   "
Amy Croft Dr.  
"Ouellette Ave., Windsor  "
"Lambert St. Amherstburg, Ontario N9A 0A9   "
"Provincial Rd., Windsor N8W 5W1   "
"Jackson Park Health Center, McDougall St Suite , Windsor, ON  "
Pelissier St. Suite Windsor  
"Manning Road, Suite , Tecumseh, ON  "
"Dougall Ave, Windsor, ON N9G 1X2; 1695 Manning Rd. Tecumseh N8N 2L9   "
"Windsor Ave, Suite, Windsor ON  "
"Malden Rd #4, Windsor (LaSalle), ON N9H 1S7   "
 Brampton 
 London 
 Hamilton 
 Windsor 
 Newmarket 
 London 
 Windsor 
 Burlington 
 London 
 London 
 Burlington 
 Kitchener 
 Windsor 
 Owen Sound 
 Hamilton 
 Toronto/Ottawa 
 Windsor 
 Orangeville 
 Woodstock 
 Toronto 
 Windsor 
 London 
 Mississauga 
 Ottawa 
"McDougall Ave Windsor, ON "
"Tecumseh Rd. E. Suite , Windsor, ON N8X 4X9  "
"Union St E, Arkona, ON N0M 1B0  "
"Erie St. S. Unit, Leamington, ON  "
"Main St. E., Kingsville, ON N9Y 1A1  "
"Dougall Ave. Suite , Windsor, ON N9E 1S2  "
"Howard Ave., Windsor, ON N8X 3W7  "
"Sandwich W Pkwy #900, Lasalle, ON N9H 2S4  "
"Talbot St. S. Suite , Essex, ON N8M 1B6  "
"Provincial Rd. #1, Windsor, ON N8W 5V7  "
"Tecumseh Rd. E., Windsor, ON N8X 5E8  "
"Dougall Avenue, Windsor, ON, N9G 1X3  "
"Gosfield Townline E., Essex, ON N8M 2R5  "
"Main St. E., Kingsville, ON N9Y 1H1  "
Lesperance Rd. Tecumseh ON N8N 1W8  
"Tecumseh Rd. E., Windsor, ON N8R 1A5  "
"Tecumseh Rd. W., Windsor, ON N9B 1T5  "
"Ouellette Ave, Windsor, ON N9A 1C9  "
"Richmond St. Amherstburg, ON N9V 1G2  "
"Broadway Suite , Tillsonburg, ON N4G 5K9  "
"Eugenie St. E. 2nd Floor, Windsor, ON N8X 2X8  "
"Pelissier St, Windsor, ON N9A 4L1  "
"Southdale Rd. E., London, ON N6E 3M2  "
"Robson Rd., Leamington, ON N8H 2M8  "
"City Centre Dr., # Mississauga , ON  L5B 1M3  "
"Cabana Rd E, Windsor, ON N9G 1A5  "
"Lakeshore Rd., Sarnia, ON N7V 2V8  "
"-  Main Street East, Kingsville, ON N9Y 1A5  "
"Princess St, Leamington, ON N8H 2Y3  "
"Tecumseh Rd. E. Suite, Windsor, ON N8X 4E7  "
"Front Rd, Windsor, ON N9J 2B6  "
"Tecumseh Rd. E., Windsor, ON N8N 3N7  "
"Steeles Ave., Brampton, ON L6Y 4E7  "
"Airport Rd. #2, Mississauga, ON L4T 2H5  "
"Caradoc St. South Unit , Strathroy, ON, N7G 2P3  "
"Talbot St. S., Essex, ON N8M 1B3  "
"Crownridge Blvd, Amherstburg, ON N9V 3W3  "
"Sandwich St. S., Amherstburg, ON N9V 1Z9  "
"Notre Dame St., Belle River, ON N0R 1A0  "
"Advance Blvd. #170, Tecumseh, ON N8N 0B8  "
"Exmouth St., Sarnia, ON N7T 5N8  "
"Malden Rd., Windsor, ON N9H 1S4  "
"Erie St. N., Leamington, ON N8H 2Z4  "
"Tecumseh Rd E. Suite, Windsor, ON N8X 4X9  "
"Clark St. W., Leamington, ON N8H 1E4  "
"Lauzon Rd Windsor, ON N8S 3M9  "
"Grand Ave W, Chatham-Kent, ON N7L 1C2  "
"Baldoon Rd., Chatham ON N7L 0C1  "
"Tecumseh Rd. E., Windsor, ON N8W 1C6  "
"Erie St. S., Harrow, ON N0R 1G0  "
"Grand Marais Rd. W #100 Windsor, ON N9E 1E3  "
"Malden Rd., Windsor, ON N9H 1S6  "
"Exmouth St, Sarnia, ON N7T 5P7  "
"McNaughton Ave., Wallaceburg, Ontario N8A 1R9  "
"Glendon Dr. Unit, Komoka, ON N0L 1R0  "
"Tecumseh Rd. E., Windsor ON N8W 1K6  "
"Manning Rd., Tecumseh, ON N8N 2L9  "
"Erie St. S., Leamington, ON  "
"Grand Ave E, Chatham-Kent, ON N7L 3Z2  "
"Mill Rd Unit, Mount Brydges, ON N0L 1W0  "
"Main St N, Grand Valley, ON L9W 5S6  "
"Ontario St S, Grand Bend, ON N0M 1T0  "
"Concession Dr, Newbury, ON N0L 1Z0  "
"Main St Unit #, Glencoe, ON N0L 1M0  "
"St. Clair St., Chatham, ON N7L 3K6  "
"Carling Ave., Ottawa, ON K1Z 8R9  "
"Dougall Ave., Windsor, ON N9E 0A2  "
"Adelaide Street N, London, ON  "
Grand Marais Rd. W Windsor ON N9E 1E2  
"Ouellette Ave., Windsor, ON N8X 1K7  "
"Howard Ave. #1, Windsor, ON N8X 4Z3  "
"King St E, Kitchener, ON N2P 2E9  "
"Duncan St., Wallaceburg, ON N8A 4E2  "
"Wyandotte St. E., Windsor, ON N8S 1M6  "
"North Service Rd. E. Unit, Windsor, ON N8W 5R7  "
"Essex County Rd. 22, Emeryville, ON N0R 1C0  "
"Erie St. E., Windsor, ON N9A 3X9  "
"Walker Rd, Windsor ON, N8Y 4X9  "
"Creditview Rd Unit , Mississauga, ON L5V 2A8  "
"Finch Dr. Unit, Sarnia, ON N7S 6G5  "
"Tecumseh Rd. E. #140, Windsor, ON N8X 4X9  "
"Tecumseh Rd E, Windsor, ON N8W 1H8  "
"Essex County Rd. 22 #, Emeryville, ON N0R 1C0  "
"Grand Marais  Rd. W. Windsor, ON N9E 1E5  "
"Cathcart Blvd,Sarnia, ON N7S 2Z4  "
"Centre Rd, Strathroy, ON N7G 3H6  "
"Cabana Rd. E., Windsor, ON   "
"Oak St. E., Leamington, ON N8H 4V4  "
"Grand Avenue East, Chatham, ON, N7L 1X1  "
"Main St. E., Kingsville, ON N9Y 1A6  "
"Broadway, Tillsonburg, ON N4G 3S7  "
"Huron Church Rd., Windsor, ON  "
"Tecumseh Rd. E., Windsor, ON N8T 3K7  "
"Victoria Ave., Belleville, ON K8N 2B1  "
"Wyandotte St. W. Windsor, ON N9B 1J8  "
"Erie St. S., Leamington, ON N8H 5J6  "
"Ontario St, Stratford, ON N5A 3J5  "
"Tecumseh Rd E, Windsor, ON N8N 1M5  "
"Tecumseh Rd. E. Suite #, Windsor ON, N8T 1G3  "
"Tecumseh Rd., Windsor, ON N8N 1M5  "
"Dougall Ave. Suite, Winsdor, ON N9E 1S8  "
"Harvey St., Chatham, ON N7M 1L5  "
"Dougall Ave. Unit Windsor, ON N9G 1X2  "
"Howard Ave, Windsor, ON N8X 3V6  "
"Jeffrey St W, Tilbury, ON N0P 2L0  "
"Broadway Apt 100, Tillsonburg, ON N4G 0H8  "
"Sprucewood Ave, Windsor, ON N9J 1X7  "
"Lesperance Rd, Windsor, ON N8N 1Y3  "
"Hawthorne Dr., Windsor, ON N8T 3N3  "
"Main St. E., Kingsville, ON N9Y 1A3  "
"Michigan Ave., Point Edward, ON N7V 1G8  "
"Walker Rd. Suite, Windsor, ON N8Y 4T9  "
"Ottawa St., Windsor, ON N8X 2E8  "
"Dufferin Ave, Wallaceburg, ON N8A 2W3  "
"Tecumseh Rd. E., Windsor, ON N8T 1C2  "
"Electricity Dr., Windsor, ON N8W 5J1  "
"Ouellette Ave. Windsor, ON N9A 1B3  "
"Victoria Street, Thamesville, ON  "
"Ingersoll Ave. Suite, Woodstock, ON N4S 4X9  "
"Walker Rd., Windsor, ON N8W 5L7  "
"Wyandotte St. E., Windsor, ON N9Y 1H1  "
"Walker Rd. #250, Windsor   "
"Walker Rd., Windsor, ON N8W 5L7  "
"Oxford Street E, London, ON  "
"N Centre Rd. Suite , London, ON N5X 4E7  "
"Forest Glade, Windsor, ON N8R 1W6  "
"Green St, Waterford, ON N0E 1Y0  "
"Watford, ON  "
"Dundas St, Woodstock, ON N4S 1B2  "
"Queen Street East, Sault Ste. Marie, ON  P6A 1Z1  "
"Tecumseh Rd E #2, Windsor, ON N8W 1H6  "
"Anchor Dr, Windsor, ON N8N 5G1  "
"Tecumseh Rd. E., Windsor, ON N8T 1C7  "
"Albany St., Petrolia, ON  "
"Sunset Ave., Windsor, ON N9B 3P4  "
Multiple locations  
Multiple locations  
"Malden Rd, Unit  "
Lauzon Rd Windsor 
Seminole St Windsor 
Olympia Dr Oldcastle 
Walker Rd Windsor 
South St Belle River 
Old Tecumseh Rd Belle River 
Sylvestre Dr Windsor 
Sylvestre Dr Windsor 
Walker Rd Windsor 
Rourke Line Belle River 
Walker Rd Windsor 
Huron Church Rd Windsor 
Kildare Rd Windsor 
Walker Rd Windsor 
Tecumseh Rd W Windsor 
Tecumseh Rd E Windsor 
Tecumseh Rd E Windsor 
Tecumseh rd E Windsor 
Tecumseh Rd E Windsor 
Tecumseh Rd E Windsor 
Tecumseh Rd E Windsor 
Tecumseh Rd Windsor 
Eugenie St E Windsor 
Holden Ave Windsor 
Walker Rd Windsor 
Tecumseh Rd E Windsor 
North Talbot Rd unit Windsor 
"Tecumseh Rd E Windsor, ON "
"Carmichael Rd Windsor, ON "
"Advance Boulevard Tecumseh, ON "
"St. Clair College Windsor, ON "
"First Street, Belle River, ON  "
"Dougall Avenue, Windsor, ON  "
Carmichael Rd Windsor ON  
"Front Rd. Lasalle, ON  "
"Howard Ave Windsor, ON N9A 1S5  "
Meadowbrook Lane Windsor ON  
"Mill St W, Leamington, ON N8H 1S8  "
"Lauzon Rd., Windsor  "
"Tecumseh Rd. E Windsor, ON  "
Crawford Ave. Windsor ON  
"McHugh St. Windsor, Ontario  N8S 0A1   "
"B, \ McAffee St S Unit, Harrow, ON N0R 1G0  "
"West End, Downtown  "
"Main Street WestKingsville, Ontario N9Y 1H8  "
"Greenwood Plaza (Central at EC Row), Deziel Drive, Unit Windsor  "
"Jefferson Blvd, Windsor, ON N8T 3G9  "
"Malden Rd Lasalle, ON \  "
"Quality Way, Unit, Windsor, ON. N8T 3R9  "
"Talbot St North, Essex  "
Tecumseh Rd E  
"Walker Rd, Windsor Ontario  "
"Wyandotte St E, Windsor  "
"Division Road Windsor, Ontario   N8X 0A8  "
Sandwich St. South Amherstburg ON  
Drouillard Rd. Windsor ON  
"Tecumseh Rd. East Windsor,ON  "
"Tecumseh Rd E, Windsor, ON N8X 2S  "
"LaSalle, ON   "
various sites in Windsor  
Laramie St.  
"Forest St. Chatham , ON  "
"Grand Ave. W, Chatham, ON  "
"Richmond St. Chatham, ON  "
"Grand Marais Rd W, Windsor, ON N9E 1E2  "
"8th Concession Road, Maidstone, ON N0R 1K0  "
"Talbot St E, Leamington, ON N8H 1L3  "
Kingsville  
Amherstburg  
Memorial Dr. Windsor ON  
Unit Dougall Ave N8X 1T3  
"McNorton St. Tecumseh, ON N8N 3Z7  "
Talbot Rd. Windsor/9855 McHugh Street  
"Erie St E, Windsor, ON N9A 3Y5  "
St. Clair College Windsor ON south Campus  
"Howard Ave, Windsor, ON N8X 3Y4  "
"Tecumseh Rd E, Windsor, ON N8W 1C1  "
Fraser Road Leamington 
Essex Rd 14 Leamington 
Seacliff Dr Kingsville 
County Road 34 Ruthven 
Peterson Lane Ruthven 
County Rd 34 Ruthven 
Seacliff Dr East Kingsville 
Rd. 3 East Kingsville 
cty rd 34 Ruthven 
"Mersea Rd 7, RR5 Leamington "
Solar Crescent  
"Centre Street Rodney, ON   "
"East Pike Creek Road,  "
"O'Neil Dr, Oldcastle ON N0R1L0  "
"Twin Oaks Dr, WINDSOR  "
"Moynahan Drive, Oldcastle, ON N0R 1L0  "
"Huron Church Rd. Unit Windsor, ON N9C 2L8  "
"Pulleybank St, Oldcastle ON  "
"Silver Creek Industrial Dr,  "
"Morton Industrial Parkway, Lasalle, ON N9J 3W2  "
"Valtec Crt, Windsor ON   "
"Seneca Rd, Leamington ON N8H5P2  "
"Kautex Dr, Windsor ON  "
"Riberdy Road, Windsor Ontario  "
Silver Creek Industrial Drive  
"Queen’s Line , Tilbury , ON N0P 2L0  "
Morton Industrial Parkway  
"O'Neil Dr, Oldcastle ON  "
"Olympia Drive, Old Castle, Ontario, N0R1L0   "
Victoria Ave. North In Leamington  
"Burke St, Oldcastle ON N9G 0B9  "
"Central Ave, Windsor ON N8W 4J5  "
Rhodes Dr Unit  
"Patillo Road, Tecumseh ON  "
"Marentette Ave, Windsor ON  "
"Doty Place, Windsor Ontario N8X 2W5  "
" Southgate Drive, Guelph, Ontario,  "
"Seneca Dr, Leamington ON  "
"Tecumseh Rd E, Windsor ON N8T 1B7  "
"Blackacre Dr, Maidstone ON N0R1K0   "
"Jutras Dr S, Windsor ON N8N 5C4  "
"Central Ave, Windsor ON N8W 4J3  "
"Morton Dr. Windsor, ON  "
"Wheelton Dr, Windsor Ontario N8W 5A7  "
N. Service Road E.  
"Sprucewood, Windsor ON N9C 0B3  "
"Delduca Dr, Oldcastle ON N0R1L0  "
"Autoliv Dr, Tilbury ON N0P 2L0  "
"Patillo Rd, Windsor, ON  N8N 2L9  "
"Outer Drive, Oldcastle Ontario N9G 0C3  "
"Rhodes Drive | Windsor, ON, N8W 5B3   "
"Devonshire Road, Windsor ON N8Y 4T6  "
"Jutras Dr S, Windsor ON N8N 5C5   "
"Twin Oaks Drive, Windsor ON N8N 5B8  "
"Burke St., OldCastle, ON  "
"Sprucewood Ave, Windsor, Ontario, N9C 0B3  "
"Patillo Rd, Windsor  "
"Highway 77, Leamington ON  "
"Moro Dr, Windsor ON  "
"Ouellette Ave, Windsor ON  "
"Park Ave E, CHATHAM ONTARIO  "
"St Etienne Blvd, Windsor ON  "
"Deziel Dr, Windsor ON  "
"Huron Church Rd Unit , WINDSOR ONTARIO   "
"Sylvestre Drive, Tecumseh   "
"Rhodes Dr, Suite  Windsor, Ontario  "
"Smith Industrial Dr, McGregor,  "
"Malden Rd, Windsor ON N9C 2G4  "
"Munich Crt, Windsor ON N8N 5G2  "
"Halford Drive, Oldcastle ON  "
 West Lorne 
 St Thomas 
 Windsor 
 Wallaceburg 
 Windsor 
 Windsor 
 Chatham 
OTA Placement list Windsor 
 Leamington 
 Tecumseh 
 Chatham 
 Chatham 
 Blenheim 
 Fergus 
 Tilbury 
 Windsor 
 Windsor 
 Blenheim 
 Leamington 
 Wallaceburg 
 Chatham 
 London 
 Wheatley 
 Windsor 
 Chatham 
 London Westmount Gdns LTC 
 Windsor 
 Windsor 
 Mississauga 
 Guelph 
 Tecumseh 
 Windsor 
 Brampton 
 Ottawa 
 Lakeshore 
 Chatham 
 Windsor 
 Windsor 
 Petrolia 
 Chatham 
 Windsor 
 Leamington 
 London 
 Windsor 
 Windsor 
 Leamington 
 Windsor 
 Essex 
 Windsor 
 Windsor 
 Chatham 
 Guelph 
 Chatham 
 Essex 
 Chatham 
 Essex 
 Ottawa 
 Chatham 
" Chatham, ON "
City Hall Square Eas  
 Ottawa 
 Strathroy 
 Tecumseh 
 Windsor 
 GTA 
 Port Hope 
 Blind River 
 Ottawa 
 Ottawa 
 Dresden 
 Stoney Point 
 Dryden 
 GTA 
 Windsor 
 Listowell 
 Hanover 
 Mississauga 
 Whitby 
 GTA 
 Winchester 
 Windsor 
 Windsor 
 Windsor 
 London 
 Windsor 
 Wheatley 
 GTA 
 Windsor 
 GTA 
 GTA 
 Windsor 
 Waterloo 
 GTA 
 GTA 
 Windsor 
 GTA 
 Greater Napanee 
 Ottawa 
